Country_Name,Country_Code,Region,Year,Fertility_Rate,Happiness_Rank,Happiness_Score
Angola,AGO,Sub-Saharan Africa,2015,6,137,4.03
Mali,MLI,Sub-Saharan Africa,2015,6.14,138,4
"Congo, Rep.",COG,Sub-Saharan Africa,2015,4.81,139,3.99
Comoros,COM,Sub-Saharan Africa,2015,4.42,140,3.96
Uganda,UGA,Sub-Saharan Africa,2015,5.68,141,3.93
Senegal,SEN,Sub-Saharan Africa,2015,5.03,142,3.9
Gabon,GAB,Sub-Saharan Africa,2015,3.85,143,3.9
Niger,NER,Sub-Saharan Africa,2015,7.57,144,3.85
Cambodia,KHM,East Asia and Pacific,2015,2.6,145,3.82
Tanzania,TZA,Sub-Saharan Africa,2015,5.08,146,3.78
Madagascar,MDG,Sub-Saharan Africa,2015,4.35,147,3.68
Central African Republic,CAF,Sub-Saharan Africa,2015,4.21,148,3.68
Chad,TCD,Sub-Saharan Africa,2015,6.05,149,3.67
Guinea,GIN,Sub-Saharan Africa,2015,4.93,150,3.66
Cote d'Ivoire,CIV,Sub-Saharan Africa,2015,4.94,151,3.66
Burkina Faso,BFA,Sub-Saharan Africa,2015,5.44,152,3.59
Afghanistan,AFG,South Asia,2015,4.65,153,3.58
Rwanda,RWA,Sub-Saharan Africa,2015,3.8,154,3.47
Benin,BEN,Sub-Saharan Africa,2015,4.69,155,3.34
Syrian Arab Republic,SYR,Middle East and North Africa,2015,2.9,156,3.01
Burundi,BDI,Sub-Saharan Africa,2015,5.86,157,2.91
Togo,TGO,Sub-Saharan Africa,2015,4.51,158,2.84
