Country,Region,Score,Economy
Mauritania,Sub-Saharan Africa,4.201,0.61391
Zimbabwe,Sub-Saharan Africa,4.193,0.35041
Malawi,Sub-Saharan Africa,4.156,0.08709
Sudan,Sub-Saharan Africa,4.139,0.63069
Gabon,Sub-Saharan Africa,4.121,1.15851
Mali,Sub-Saharan Africa,4.073,0.31292
Haiti,Latin America and Caribbean,4.028,0.34097
Botswana,Sub-Saharan Africa,3.974,1.09426
Comoros,Sub-Saharan Africa,3.956,0.27509
Ivory Coast,Sub-Saharan Africa,3.916,0.55507
Cambodia,Southeastern Asia,3.907,0.55604
Angola,Sub-Saharan Africa,3.866,0.84731
Niger,Sub-Saharan Africa,3.856,0.1327
South Sudan,Sub-Saharan Africa,3.832,0.39394
Chad,Sub-Saharan Africa,3.763,0.42214
Burkina Faso,Sub-Saharan Africa,3.739,0.31995
Uganda,Sub-Saharan Africa,3.739,0.34719
Yemen,Middle East and Northern Africa,3.724,0.57939
Madagascar,Sub-Saharan Africa,3.695,0.27954
Tanzania,Sub-Saharan Africa,3.666,0.47155
Liberia,Sub-Saharan Africa,3.622,0.10706
Guinea,Sub-Saharan Africa,3.607,0.22415
Rwanda,Sub-Saharan Africa,3.515,0.32846
Benin,Sub-Saharan Africa,3.484,0.39499
Afghanistan,Southern Asia,3.36,0.38227
Togo,Sub-Saharan Africa,3.303,0.28123
Syria,Middle East and Northern Africa,3.069,0.74719
Burundi,Sub-Saharan Africa,2.905,0.06831
